Time	UID	PID	%usr	%system	%guest	%wait	%CPU	CPU	minflt/s	majflt/s	VSZ	RSS	%MEM	kB_rd/s	kB_wr/s	kB_ccwr/s	iodelay	Command
18:40:59	1000	73804	76.00	22.00	0.00	0.00	98.00	11	145345.00	0.00	661244	586252	1.80	0.00	4.00	0.00	0	resource_usage_
18:41:00	1000	73804	86.00	14.00	0.00	0.00	100.00	11	891.00	0.00	664808	589948	1.81	0.00	0.00	0.00	0	resource_usage_
18:41:01	1000	73804	86.00	15.00	0.00	0.00	101.00	11	804.00	0.00	668108	593116	1.82	0.00	0.00	0.00	0	resource_usage_
18:41:02	1000	73804	85.00	7.00	0.00	0.00	92.00	11	421.00	0.00	669696	594972	1.83	3515.50	65536.00	0.00	7	resource_usage_
18:41:03	1000	73804	96.00	4.00	0.00	0.00	100.00	11	0.00	0.00	669696	594972	1.83	9625.00	0.00	0.00	0	resource_usage_
18:41:04	1000	73804	93.00	7.00	0.00	0.00	100.00	11	0.00	0.00	669696	594972	1.83	9563.50	0.00	0.00	0	resource_usage_
18:41:05	1000	73804	96.00	3.00	0.00	0.00	99.00	11	18.00	0.00	669832	594972	1.83	9518.00	0.00	0.00	0	resource_usage_
18:41:06	1000	73804	94.00	7.00	0.00	0.00	101.00	11	12.00	0.00	669832	594972	1.83	9738.50	0.00	0.00	0	resource_usage_
18:41:07	1000	73804	94.00	6.00	0.00	0.00	100.00	11	23.00	0.00	669956	595128	1.83	9979.00	0.00	0.00	0	resource_usage_
18:41:08	1000	73804	92.00	8.00	0.00	0.00	100.00	11	10.00	0.00	669956	595128	1.83	9774.50	0.00	0.00	0	resource_usage_
18:41:09	1000	73804	95.00	5.00	0.00	0.00	100.00	11	20.00	0.00	670092	595128	1.83	9886.50	0.00	0.00	0	resource_usage_
18:41:10	1000	73804	94.00	6.00	0.00	0.00	100.00	11	22.00	0.00	670228	595388	1.83	10117.50	0.00	0.00	0	resource_usage_
18:41:11	1000	73804	94.00	6.00	0.00	0.00	100.00	11	18.00	0.00	670228	595388	1.83	10142.00	0.00	0.00	0	resource_usage_
18:41:12	1000	73804	94.00	6.00	0.00	0.00	100.00	11	6.00	0.00	670228	595388	1.83	9556.00	0.00	0.00	0	resource_usage_
18:41:13	1000	73804	90.00	5.00	0.00	0.00	95.00	11	11.00	0.00	670364	595388	1.83	9355.50	32768.00	0.00	5	resource_usage_
18:41:14	1000	73804	98.00	2.00	0.00	0.00	100.00	11	22.00	0.00	670364	595388	1.83	9891.50	0.00	0.00	0	resource_usage_
18:41:15	1000	73804	92.00	8.00	0.00	0.00	100.00	11	6.00	0.00	670364	595388	1.83	9899.50	0.00	0.00	0	resource_usage_
18:41:16	1000	73804	96.00	4.00	0.00	0.00	100.00	11	24.00	0.00	670496	595652	1.83	10021.00	0.00	0.00	0	resource_usage_
18:41:17	1000	73804	96.00	4.00	0.00	0.00	100.00	5	14.00	0.00	670632	595652	1.83	10128.00	0.00	0.00	0	resource_usage_
18:41:18	1000	73804	96.00	4.00	0.00	0.00	100.00	5	23.00	0.00	670632	595652	1.83	10077.50	0.00	0.00	0	resource_usage_
18:41:19	1000	73804	95.00	5.00	0.00	0.00	100.00	2	2.00	0.00	670632	595652	1.83	10003.50	0.00	0.00	0	resource_usage_
18:41:20	1000	73804	93.00	7.00	0.00	0.00	100.00	2	28.00	0.00	670768	595916	1.83	10043.50	0.00	0.00	0	resource_usage_
18:41:21	1000	73804	95.00	5.00	0.00	0.00	100.00	2	8.00	0.00	670768	595916	1.83	9816.50	0.00	0.00	0	resource_usage_
18:41:22	1000	73804	97.00	3.00	0.00	0.00	100.00	2	26.00	0.00	670900	595916	1.83	9683.00	0.00	0.00	0	resource_usage_
18:41:23	1000	73804	92.00	8.00	0.00	0.00	100.00	2	10.00	0.00	670900	596180	1.83	9761.00	0.00	0.00	0	resource_usage_
18:41:24	1000	73804	96.00	4.00	0.00	0.00	100.00	2	14.00	0.00	671036	596180	1.83	9994.50	0.00	0.00	0	resource_usage_
18:41:25	1000	73804	93.00	7.00	0.00	0.00	100.00	2	17.00	0.00	671036	596180	1.83	9909.00	0.00	0.00	0	resource_usage_
18:41:26	1000	73804	98.00	2.00	0.00	0.00	100.00	2	24.00	0.00	671168	596180	1.83	9960.00	0.00	0.00	0	resource_usage_
18:41:27	1000	73804	97.00	3.00	0.00	0.00	100.00	2	0.00	0.00	671168	596180	1.83	9905.50	0.00	0.00	0	resource_usage_
18:41:28	1000	73804	93.00	7.00	0.00	0.00	100.00	2	30.00	0.00	671296	596468	1.83	10001.00	0.00	0.00	0	resource_usage_
18:41:29	1000	73804	93.00	7.00	0.00	0.00	100.00	2	8.00	0.00	671296	596468	1.83	9668.50	0.00	0.00	0	resource_usage_
18:41:30	1000	73804	91.00	4.00	0.00	0.00	95.00	2	16.00	0.00	671432	596468	1.83	9295.50	32768.00	0.00	4	resource_usage_
18:41:31	1000	73804	94.00	7.00	0.00	0.00	101.00	2	16.00	0.00	671432	596468	1.83	10049.00	0.00	0.00	0	resource_usage_
18:41:32	1000	73804	93.00	6.00	0.00	0.00	99.00	2	12.00	0.00	671568	596728	1.84	10070.50	0.00	0.00	0	resource_usage_
18:41:33	1000	73804	95.00	6.00	0.00	0.00	101.00	2	14.00	0.00	671568	596728	1.84	9975.00	0.00	0.00	0	resource_usage_
18:41:34	1000	73804	95.00	4.00	0.00	0.00	99.00	2	14.00	0.00	671568	596728	1.84	9785.00	0.00	0.00	0	resource_usage_
18:41:35	1000	73804	95.00	6.00	0.00	0.00	101.00	2	20.00	0.00	671704	596728	1.84	10100.50	0.00	0.00	0	resource_usage_
18:41:36	1000	73804	97.00	2.00	0.00	0.00	99.00	2	23.00	0.00	671836	596992	1.84	9993.50	0.00	0.00	0	resource_usage_
18:41:37	1000	73804	95.00	6.00	0.00	0.00	101.00	2	12.00	0.00	671836	596992	1.84	10092.50	0.00	0.00	0	resource_usage_
18:41:38	1000	73804	95.00	4.00	0.00	0.00	99.00	2	8.00	0.00	671836	596992	1.84	10075.50	0.00	0.00	0	resource_usage_
18:41:39	1000	73804	94.00	6.00	0.00	0.00	100.00	2	24.00	0.00	671964	597136	1.84	9567.00	0.00	0.00	0	resource_usage_
18:41:40	1000	73804	95.00	6.00	0.00	0.00	101.00	2	12.00	0.00	671964	597136	1.84	9687.00	0.00	0.00	0	resource_usage_
18:41:41	1000	73804	94.00	5.00	0.00	0.00	99.00	2	21.00	0.00	672092	597264	1.84	9698.50	0.00	0.00	0	resource_usage_
18:41:42	1000	73804	96.00	4.00	0.00	0.00	100.00	2	2.00	0.00	672092	597264	1.84	9626.00	0.00	0.00	0	resource_usage_
18:41:43	1000	73804	96.00	5.00	0.00	0.00	101.00	2	28.00	0.00	672224	597264	1.84	9796.00	0.00	0.00	0	resource_usage_
18:41:44	1000	73804	95.00	4.00	0.00	0.00	99.00	2	24.00	0.00	672360	597524	1.84	9803.00	0.00	0.00	0	resource_usage_
18:41:45	1000	73804	97.00	4.00	0.00	0.00	101.00	2	14.00	0.00	672360	597524	1.84	10050.00	0.00	0.00	0	resource_usage_
18:41:46	1000	73804	95.00	4.00	0.00	0.00	99.00	2	0.00	0.00	672360	597524	1.84	10040.50	0.00	0.00	0	resource_usage_
18:41:47	1000	73804	90.00	6.00	0.00	0.00	96.00	2	27.00	0.00	672472	597664	1.84	9576.00	32768.00	0.00	5	resource_usage_
18:41:48	1000	73804	97.00	3.00	0.00	0.00	100.00	2	5.00	0.00	672472	597664	1.84	10056.00	0.00	0.00	0	resource_usage_
18:41:49	1000	73804	96.00	4.00	0.00	0.00	100.00	2	17.00	0.00	672604	597664	1.84	9956.00	0.00	0.00	0	resource_usage_
18:41:50	1000	73804	96.00	4.00	0.00	0.00	100.00	2	18.00	0.00	672604	597664	1.84	10048.50	0.00	0.00	0	resource_usage_
18:41:51	1000	73804	96.00	4.00	0.00	0.00	100.00	2	20.00	0.00	672740	597924	1.84	10071.00	0.00	0.00	0	resource_usage_
18:41:52	1000	73804	94.00	6.00	0.00	0.00	100.00	2	12.00	0.00	672740	597924	1.84	9980.50	0.00	0.00	0	resource_usage_
18:41:53	1000	73804	96.00	4.00	0.00	0.00	100.00	2	18.00	0.00	672876	597924	1.84	9969.00	0.00	0.00	0	resource_usage_
18:41:54	1000	73804	94.00	5.00	0.00	0.00	99.00	2	14.00	0.00	672876	597924	1.84	10032.50	0.00	0.00	0	resource_usage_
18:41:55	1000	73804	96.00	5.00	0.00	0.00	101.00	2	12.00	0.00	673004	597924	1.84	10012.00	0.00	0.00	0	resource_usage_
